,name_list_1,name_list_2,postcode,query,sn,geometry,country,json_data
0,McDonald’s Alocassia,383 Bukit Timah Road #01-09B Alocassia Apartments,Singapore 259727,"383 Bukit Timah Road #01-09B Alocassia Apartments, Singapore 259727",0,POINT (103.827299 1.319573),Singapore,"{'data': [{'latitude': 1.319573, 'longitude': 103.827299, 'type': 'address', 'name': '383 Bukit Timah Road', 'number': '383', 'postal_code': '259727', 'street': 'Bukit Timah Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '383 Bukit Timah Road, Singapore'}]}"
1,McDonald’s Ang Mo Kio,51 Ang Mo Kio Avenue 3 #01-04 51 @ AMK,Singapore 569922,"51 Ang Mo Kio Avenue 3 #01-04 51 @ AMK, Singapore 569922",1,POINT (103.847296 1.369305),Singapore,"{'data': [{'latitude': 1.369305, 'longitude': 103.847296, 'type': 'address', 'name': '51 Ang Mo Kio Avenue 3', 'number': '51', 'postal_code': '569922', 'street': 'Ang Mo Kio Avenue 3', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '51 Ang Mo Kio Avenue 3, Singapore'}]}"
2,McDonald’s Ang Mo Kio 4,163 Ang Mo Kio Avenue 4 #01-438,Singapore 560163,"163 Ang Mo Kio Avenue 4 #01-438, Singapore 560163",2,POINT (103.838281 1.374176),Singapore,"{'data': [{'latitude': 1.374176, 'longitude': 103.838281, 'type': 'address', 'name': 'Block 163 Ang Mo Kio Avenue 4', 'number': 'Block 163', 'postal_code': '560163', 'street': 'Ang Mo Kio Avenue 4', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': 'Block 163 Ang Mo Kio Avenue 4, Singapore'}, {'latitude': 1.373985, 'longitude': 103.837774, 'type': 'address', 'name': '163 Ang Mo Kio Avenue 4', 'number': '163', 'postal_code': '560163', 'street': 'Ang Mo Kio Avenue 4', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '163 Ang Mo Kio Avenue 4, Singapore'}]}"
3,McDonald’s Ang Mo Kio Ave 10,448 Ang Mo Kio Avenue 10 #01-1693,Singapore 560448,"448 Ang Mo Kio Avenue 10 #01-1693, Singapore 560448",3,POINT (103.85641 1.36752),Singapore,"{'data': [{'latitude': 1.36752, 'longitude': 103.85641, 'type': 'address', 'name': '448 Ang Mo Kio Avenue 10', 'number': '448', 'postal_code': None, 'street': 'Ang Mo Kio Avenue 10', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '448 Ang Mo Kio Avenue 10, Singapore'}]}"
4,McDonald’s Ang Mo Kio Park,10 Ang Mo Kio Street 12,Singapore 567740,"10 Ang Mo Kio Street 12, Singapore 567740",4,POINT (103.844912 1.372396),Singapore,"{'data': [{'latitude': 1.372396, 'longitude': 103.844912, 'type': 'address', 'name': '10 Ang Mo Kio Street 12', 'number': '10', 'postal_code': None, 'street': 'Ang Mo Kio Street 12', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '10 Ang Mo Kio Street 12, Singapore'}]}"
5,McDonald’s Aperia Mall,12 Kallang Avenue Aperia #01-24,Singapore 339511,"12 Kallang Avenue Aperia #01-24, Singapore 339511",5,POINT (103.864143 1.309683),Singapore,"{'data': [{'latitude': 1.309683, 'longitude': 103.864143, 'type': 'address', 'name': '12,  #01-26 Kallang avenue, Aperia', 'number': '12,  #01-26', 'postal_code': '339511', 'street': 'Kallang avenue, Aperia', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '12,  #01-26 Kallang avenue, Aperia, Singapore'}]}"
6,McDonald’s Beauty World,144 Upper Bukit Timah Road #01-39 & #01-40 Beauty World Centre,Singapore 588177,"144 Upper Bukit Timah Road #01-39 & #01-40 Beauty World Centre, Singapore 588177",6,POINT (103.776171 1.34218),Singapore,"{'data': [{'latitude': 1.34218, 'longitude': 103.776171, 'type': 'address', 'name': '144 Upper Bukit Timah Road', 'number': '144', 'postal_code': '588177', 'street': 'Upper Bukit Timah Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '144 Upper Bukit Timah Road, Singapore'}]}"
7,McDonald’s Bedok Mall,311 New Upper Changi Road Unit #01-10/11 Bedok Mall,Singapore 467360,"311 New Upper Changi Road Unit #01-10/11 Bedok Mall, Singapore 467360",7,POINT (103.929484 1.324493),Singapore,"{'data': [{'latitude': 1.324493, 'longitude': 103.929484, 'type': 'address', 'name': '311 New Upper Changi Road', 'number': '311', 'postal_code': '467360', 'street': 'New Upper Changi Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '311 New Upper Changi Road, Singapore'}, {'latitude': 1.324956, 'longitude': 103.92985, 'type': 'address', 'name': '311 New Upper Changi Road Bedok Mall', 'number': '311', 'postal_code': '467360', 'street': 'New Upper Changi Road Bedok Mall', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '311 New Upper Changi Road Bedok Mall, Singapore'}]}"
8,McDonald’s Bedok North,539 Bedok North Street 3 #01-643,Singapore 460539,"539 Bedok North Street 3 #01-643, Singapore 460539",8,POINT (103.925597 1.332456),Singapore,"{'data': [{'latitude': 1.332456, 'longitude': 103.925597, 'type': 'address', 'name': '539A Bedok North Street 3', 'number': '539A', 'postal_code': '461539', 'street': 'Bedok North Street 3', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '539A Bedok North Street 3, Singapore'}, {'latitude': 1.331729, 'longitude': 103.925836, 'type': 'address', 'name': '539 Bedok North Street 3', 'number': '539', 'postal_code': '460539', 'street': 'Bedok North Street 3', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '539 Bedok North Street 3, Singapore'}]}"
9,McDonald’s Bedok Reservoir,632 Bedok Reservoir Road #01-850,Singapore 470632,"632 Bedok Reservoir Road #01-850, Singapore 470632",9,POINT (103.914191 1.33199),Singapore,"{'data': [{'latitude': 1.33199, 'longitude': 103.914191, 'type': 'address', 'name': '632 Bedok Reservoir Road', 'number': '632', 'postal_code': '470632', 'street': 'Bedok Reservoir Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '632 Bedok Reservoir Road, Singapore'}]}"
10,McDonald’s Bedok Reservoir Park,Blk 744 Bedok Reservoir Road #01-3019,Singapore 470744,"Blk 744 Bedok Reservoir Road #01-3019, Singapore 470744",10,POINT (103.922001 1.337558),Singapore,"{'data': [{'latitude': 1.337558, 'longitude': 103.922001, 'type': 'address', 'name': '744 Bedok Reservoir Road', 'number': '744', 'postal_code': '470744', 'street': 'Bedok Reservoir Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '744 Bedok Reservoir Road, Singapore'}, {'latitude': 1.341102, 'longitude': 103.932933, 'type': 'venue', 'name': 'PA Water-Venture (Bedok Reservoir)', 'number': None, 'postal_code': '479311', 'street': 'Bedok Reservoir Road', 'confidence': 0.8, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': 'PA Water-Venture (Bedok Reservoir), Singapore'}, {'latitude': 1.329666, 'longitude': 103.910505, 'type': 'address', 'name': '112 Bedok Reservoir Road', 'number': '112', 'postal_code': None, 'street': 'Bedok Reservoir Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '112 Bedok Reservoir Road, Singapore'}, {'latitude': 1.328446, 'longitude': 103.909858, 'type': 'address', 'name': '101 Bedok Reservoir Road', 'number': '101', 'postal_code': None, 'street': 'Bedok Reservoir Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '101 Bedok Reservoir Road, Singapore'}, {'latitude': 1.337046, 'longitude': 103.916612, 'type': 'address', 'name': '2304 Bedok Reservoir Road', 'number': '2304', 'postal_code': None, 'street': 'Bedok Reservoir Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '2304 Bedok Reservoir Road, Singapore'}, {'latitude': 1.337301, 'longitude': 103.927019, 'type': 'address', 'name': '4800 Bedok Reservoir Road', 'number': '4800', 'postal_code': '479229', 'street': 'Bedok Reservoir Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '4800 Bedok Reservoir Road, Singapore'}, {'latitude': 1.338132, 'longitude': 103.929921, 'type': 'address', 'name': '760 Bedok Reservoir Road', 'number': '760', 'postal_code': None, 'street': 'Bedok Reservoir Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '760 Bedok Reservoir Road, Singapore'}, {'latitude': 1.337844, 'longitude': 103.920664, 'type': 'address', 'name': '575 Bedok Reservoir Road', 'number': '575', 'postal_code': None, 'street': 'Bedok Reservoir Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '575 Bedok Reservoir Road, Singapore'}, {'latitude': 1.337872, 'longitude': 103.920591, 'type': 'address', 'name': '577 Bedok Reservoir Road', 'number': '577', 'postal_code': None, 'street': 'Bedok Reservoir Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '577 Bedok Reservoir Road, Singapore'}, {'latitude': 1.331331, 'longitude': 103.905515, 'type': 'address', 'name': '642 Bedok Reservoir Road', 'number': '642', 'postal_code': None, 'street': 'Bedok Reservoir Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '642 Bedok Reservoir Road, Singapore'}]}"
11,McDonald’s Bendemeer,22 Boon Keng Road #01-01,Singapore 330022,"22 Boon Keng Road #01-01, Singapore 330022",11,POINT (103.861926 1.318912),Singapore,"{'data': [{'latitude': 1.318912, 'longitude': 103.861926, 'type': 'address', 'name': '22A Boon Keng Road', 'number': '22A', 'postal_code': '331022', 'street': 'Boon Keng Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '22A Boon Keng Road, Singapore'}, {'latitude': 1.318402, 'longitude': 103.86155, 'type': 'address', 'name': '22 Boon Keng Road', 'number': '22', 'postal_code': '330022', 'street': 'Boon Keng Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '22 Boon Keng Road, Singapore'}]}"
12,McDonald’s Bishan Junction 8,9 Bishan Place #01-20 Junction 8,Singapore 579837,"9 Bishan Place #01-20 Junction 8, Singapore 579837",12,POINT (103.848304 1.350045),Singapore,"{'data': [{'latitude': 1.350045, 'longitude': 103.848304, 'type': 'address', 'name': '9 Bishan Place', 'number': '9', 'postal_code': '579837', 'street': 'Bishan Place', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '9 Bishan Place, Singapore'}]}"
